타임스탬프,이메일 주소,작성자분의 닉네임을 알려주세요!,1) 제리 쌤,2) 빨강구두 쌤,3) 송히 쌤,4) 그레이 쌤,5) 서벅 돔,6) 효 돔,7) 스말러 돔,8) 대니 돔,9) 이리 돔,10) 다정 돔,11) 초코 돔
2026. 4. 13 오후 5:47:22,,진성,그 동안 고생했습니다 출석률이 저조해서 자주 못 뵈었내요,다정하게 잘 대해 주셔서 정말 감사했습니다,에너지 넘치는 송히쌤 그동안 진짜 누나처럼 잘 대해주시고 잘 끌어주셔서 감사했습니다,에너지 넘치는 송히쌤 옆에서 고군분투 하신 그레이쌤 졸공때 방전된 모습에 눈시울이...까지는 아니지만 그동안 감사했습니다,초반에 어버버할때 친절하게 와주셔서 도와주신거 감사합니다,그동안 고생하셨고 졸공때 캔디?잘 먹었습니다 힘이 되었습니다,진짜 동안 항상 웃어주시고 말걸어주시고 진짜진짜 고마웠습니다 다정한 도우미이자 형님 항상 행복하세요,고생하셨습니다,고생하셨습니다 제가 출근률이 저조해서 많이 못 뵈어서 아쉽내요 그동안 감사했습니다,고생하셨고 소셜때 한번이라도 더 추게 해주시고 다정하셨던 돔 감사했습니다,토요일 너무 출석률이 저조해서 많이 못뵈었내요 고생하셨고 감사했습니다
2026. 4. 13 오후 5:49:04,,라이에,"첫시간부터 남달랐던, 그렇게  린초 1,2가 덕분에 유익한 시간 이었습니다! 제가 조금 나아졌다면 제리쌤  덕분입니다^^",시간이 벌써~ 저도 언제가 멋지게 쌤처럼 추게되는 날이 있기를요. 잘 못춰도 끝까지 알려주셔서 고맙습니다~,항상 저의 부족한 점을 함께 고민해줘서 이해하기가 훨 쉬웠답니다~ 짧은 시간이었지만 임팩트 있는 쌤이셨답니다!,이론도 빠삭하신 쌤 통해 내가 뭐하는건지를 배우는 시간들이었답니다. 뭐 하나라도 더  알려주려는 맘  잊지않을께용 ^^,애정어린 잔소리 고마워용~ 그만큼 발전하지 못한듯 해서 미안할 따름이랍니다.,뭐든 친절하게 도와줘서 고맙습니다.,닉네임과 찰떡인 스말러돔~ 고마웠습니다~,,,헤헤헤헤헤 고마웠어요~~,
2026. 4. 13 오후 6:56:57,,하피,"안녕하세요 제리쌤, 하피라고 합니다. 사실 제리쌤한테는 아직 수업을 들은 적은 없지만 소문으로 너무 잘하시고 잘 가르치시고 넘 좋으시다고 들었습니다. 언젠간 꼭 만나뵙길 기대하고 있어요!! 행복하세요~~~","안녕하세요 빨강구두 쌤, 하피라고 합니다. 아직 쌤께 수업을 들은 적은 없지만 너무너무 잘 하시고 좋으시고 잘 가르쳐주신다고 들었습니다. 뒷풀이 자리에서만 한번 뵈었는데 언젠가 수업을 꼭 듣겠습니다!! 행복하세여~~~",안녕하세요 내사랑 송히쌤♡ 보통은 진지하신 강사님들과 수업을 하다가 송히쌤을 만났을 때의 그 충격이란(P)!!!!! 수업 듣는 내내 너무 즐거웠고 행복했습니다. 많이 웃고 재밌는 2시간 동안 또 수업은 어찌나 알찬지~~~ 이 세상에 이런 캐릭터는 없다!!! 스프회원이면 무조건 한번은 송히쌤과 수업을 해야함. 헌법으로 지정해야 함. ㅎㅎㅎ 쌤의 밝은 에너지를 나눌 수 있어서 너무 감사했어요. 졸공 안무도 너무 신나고 재밌고 완벽했습니다!!! 다음에 또 만나요!! ,안녕하세요 그레이쌤~~ ,,,,,,,
2026. 4. 13 오후 9:33:30,,칩스쥬니어쵸이,제리쌤.... 두 학기 동안 저땜에 심적인 고통은 안 겪으셨나 모르겠습니다. 하도 촐삭 촐랑 지랄?맞아서 이런 수강생 또 없습니다만.. 암튼 무사히 졸업하고 좋은 수업 해주셔서 넘나감사하고~ 다음엔 진중하고 자중하며 조용한 가운데 수업을...임했으면 좋겠네용^^;; 감사합니당,"언제 다음에 까르보나라와 소주 맛집을 찾아 가보심이 어떠실지요? 두학기동안 몸도 맘도 힘드셨을텐데 잘 견뎌주시고 언제나 수업 소셜 졸공때 웃어주심에 감사드리며. 술은 조큼만 드세요 칸이 마니 아파해요~ 건강 챙기시길 바랄게용
두 학기동안 감사합니다. 다다음...학...ㄱ....뵈요^^","송히 언니~ 저땜에 많이 힘들고 고통받으셨을꺼라 누누이 말씀 드리지만... 그래도 어찌저찌 잘 버텨내셨어요. 저가튼 희얀하고 밥주면 좋아하고 뭐 그런 수강생 세상에 몇..아니 하나밖에 없었으니깐요.
그래도 송히언늬가 잘 챙겨주시고 많이 웃어주셔서 저도 덩달아 웃움이 났네요. 그래서 다음엔 청주에서~ 아님 신림에서 뵙도록 해용^^","그레이선생님께.
선생님 안녕하십니까 칩스 쥬니어 쵸이입니다.
수업기간동안 여러모로 힘드셨을텐데 몸도 맘도 지쳤을 선생님의 마음을 누구보다 잘 알고 있습니다.
그럼에도 이겨내주시고 잘 이끌어주셔서 두 학기 즐거운 추억으로 살아갈 거 같네용^^
다음에 핑클, 에쵸티 그리고 BTS....춤도 같이 추면 좋겠어용^^ 감사해용~","제가 친형은 없지만, 만약 친형이 있다면 서벅군돔님같은 분이 계시지 않았을까 합니다. 맨날 싫은 소리 하시면서도 알뜰 살뜰하게 챙겨주시고. 춤 못추고 허우적 거리면 멱살 잡고 케리해주심이 한두번이 아니셨습니다. 덕분에 조큼의 디테일도 스윽 와서 봐주시고 챙겨주셔서 여기까지...왔습니당^^ 감사해용^^",내적 친밀감 넘치는 효돔님. 항상 이름 물어보게 해서 죄송해요. 맨날 물어보고 까먹고 물어보는게 제 실력이자 능력이여서..... 그럼에도 팀킬하는 가운데에서도 자신의 의지와 자존감을 지켜가면서 저를 챙겨주심에 감사드립니다. 다음에 린초3에서 뵙는거...ㅈ? 건강하세용^^,"모~ 든~ 거얼~ 아 주 이 까 떠 나 다 능 그 ~ 남자~
내~ 모~ 드걸~ 아~ 가 져 간 그~ 남자~
한때는 내가 정말...사.....이다같은 그 남자..
다 믿었었어...바보같이.....
스말러돔님은 다 똑같나바.....-윤민수를 닮은 스말러돔님. 항상 제가 초큼만 뭐 해도 스마일 모습을 보여주심에 빵빵 터졌습니당.
넘나 감사드리고 다음에 또 스윙생에서 같이 만날날을 기약해보겠습니당
P.S. 언제 강습 또 하시나요? 린더벅? 린초1? 2?","대니돔님을 볼때마다 토마스가 아른거려....
린초2에서 급하게 수혈받아서 오셨는데 많은 알과 상황과 어려움을 겪으셨으리라 생각하지만 그럼에도 특유의 빡침? 아니 웃음과 미소로 견뎌내주셨기에 함께 즐거웠습니다. 넘나넘나 고생많이하셨고 감사드립니당^^ 다음에 만나면 소셜 홀딩 수업에서 또 만나용^^","구 이리 신 익산에서 살다 온 칩스입니다~
골든 응원 가야지 가야지 해놓고 가지도 못한 점 송구스럽게 생각합니다. 하지만 다음학기에 린초1 수업 하신다고 해서 꼭꼭꼭~! 응원가도록 하겠습니당~!!
항상 건강하시고 4주년 너머 오주년 오십주년까지 백세 스윙하시길 바라겠습니당^^","안녕하세요. 김젬마 선생님.
최성관 간호사입니다.
잘 지내셨는지요?
먼 발치에서 지켜보고 있습니다
스윙 세계로 입문하게 한거 후회하고 있나요?ㅋㅋ
그니깐 아무나 발 들이게 하지 마세요. 개고생만 하다 한 학기 하고 가버려서 조큼은 섭섭하고 엠티때 오지 못해서 더더욱 아쉽지만..
담에 밥먹어요.. 저 떠나기 전에...^^;; 
항상 건강하시고 오래오래 행복 스윙생활이어갑시다
다음에 홀딩 고진선처 부탁드립니다.","초코돔님 안녕하세요 칩스입니다.
린초1때 그래도 재밌었고 그랬는데...린초2때 안계셔서 섭섭....할뻔 했지만. 그래도 바삐 현생과 스윙생, 그리고 윤리위로 활동하시느라 정신없을거라 생각이 듭니다. 엠티때 어디 놀러가시는지 정해지셨는지 모르겠지만.. 그래도 다음에 또 뵈면 홀딩 신청 들가겠습니다. 건강하시고 행복하소서"
2026. 4. 13 오후 10:13:52,,로빅,감사합니다,감사합니다,"이렇게 잘 챙겨주신 쌤이 있었나 싶을 정도로, 감동받았습니다! 덕분에 춤에도 더 관심을 가지게 된거 같습니다! ","이렇게 친절하게 잘 설명해주시고, 모르는것도 친절하게 알려주셔서, 말을 걸거나 어떤것을 물어볼때 어렵지가 않았던거 같았습니다. 이런 부분은 정말 닮고 싶네요! ",감사합니다,"출석 체크 할때마다 안내 잘 해주시고, 늦게왔는데 어디로 위치해서 가야 될지도 친절히 알려주셔서 매번 감사했습니다. ","정말 항상 미소가 없는 적을 본적이 없었습니다! 덕분에 저도 항상 긍정적이고 진취적인 생각과 자세를 가지면서 102기 분들 그리고 쌤, 돔 분들과 함께 했던거 같습니다!",감사합니다,감사합니다,감사합니다,감사합니다
2026. 4. 13 오후 10:51:22,,란다김,,,쌤 덕분에 수업내내 넘 즐겁게 웃으면서 많이 배운것 같아요 ㅎㅎ 넘 감사해욧💕💕💕,그레이쌤~ 다이나믹칸 것들도 하나라도 더 알려주시려고 했던 것들까지 많이 배웠네요 넘 감사해요~~^.^ ,잘 챙겨주신것 감사해요~~^^,한 학기동안 넘 감사했어요 ~~🤗,항상 수업 늦게들어가도 항상 빵긋 웃는 얼굴로 맞이해주시고 챙겨주시고 감시해요 👍,,,,
2026. 4. 14 오전 11:40:20,,우마왕,제리쌤 멋져요! 늘 먼 발치에서 춤추시는거 보면서 감탄하고 있어요!,구두쌤... 제가 더 열심 나왔어야 했는데... 짧지만 즐거운 시간이었어요!!!,"열심히 나갔어야 했는데... 
길거리에서 방황하는 저를 검거도 해주시고...
짧은 시간이었지만 너무 즐거웠어요!!","재밌고 유익한 수업을 해주셨고 즐거웠어요!!
자주 나가서 수업 듣고 싶었는데...
짧은 시간이었지만 너무 즐거웠어요!!","늘 믿고 의지 하고있어요 서벅님
항상 감사해요. 제가 즐거운 걸 하면서 지낼수 있도록!!
서벅님도 즐거운거 하면서 지내실수 있도록!!","늘 반가운 효님!! 내적친밀감을 느낍니다...
수업에 잘 안못나가서 죄송해요...화이팅!","늘 저를 다그쳐주시는 스말러님
늘 감사드려요... 제가 열심히 자주 나갔어야 했는데...
항상 감사드려요.",엇..수업에서 못 만났었네요... 빠에서 뵈요!! 하하 화이팅!!,제가 수업을 워낙 안가서... 마주치질 못했어요... 늘 응원하고 있어요,빠에서 보면 홀딩 갈게요!!! 제가 수업을 잘 안가서 수업때 못본거 같아요!! ㅎㅎㅎㅎ,와~! 멋진 대장~! 멋진 디제이!! 도우미!! 짱짱맨
2026. 4. 14 오후 7:13:04,,백미,,,"송히쌤~!
쌤의 유쾌하게 수업 해 주셔서  정말 즐겁게 배웠습니다 
특히 스위블도 궁금증이 많이 풀린 것 같아요(아직 마음처럼 안 되지만ㅋㅋ)
그리고 회사 때문에 뒤풀이를 매번 못 가서 많이 못 친해진게 아쉬움으로 남지만, 
그래도 바에서 만나면 반갑게 인사할게요! 그동안 감사합니다. 다음에 또 봬요!","그레이쌤~!
항상 자상하고 다정하게 알려주셔서 정말 감사했습니다.
매번 도망가는 저를 붙잡아 소셜로 인도해 주시던 쌤ㅋㅋ
다음 날 출근 때문에 많은 시간을 함께하지 못해 아쉬움이 남지만
그래도 바에서 만나면 반갑게 인사할게요~
다음에 많이 늘어서 홀딩 신청하러 가겠습니닷!
그동안 감사했습니다 다음에 또 봬요!",,"효돔!
효돔은 정말 '마음의 안정' 그 자체예요. ㅎㅎ 
덕분에 매번 수업 올 때마다 마음이 정말 편안했습니다.
항상 따뜻하게 반겨주시고 세심하게 챙겨주셔서 감사해요
알라뷰우~~❤️","말러돔~ㅋㅋ
도우미라 부르는게 아직도 어색하지만
동기들없는 수업해서 챙겨주셔서 감사했어요
홀딩하는거 힘든데 항상 먼저와서 홀딩 걸어주시고
표현을 잘 못하지만 항상 감사함이 커요~ㅎㅎ
더...아니 조금만 열심히 해볼게요
무병장수하세요 아부지ㅋㅋ",,,,
2026. 4. 14 오후 7:36:25,,바이올렛,(남자들에게) 인기 폭발 리더 제리쌤! 린초2 하면서 베이직 잘 점검하고 익혔습니다 2학기 동안 스프에서 넘 고생 많으셨어요! 또 어디선가 뵙는 걸로~☆,구두쌤~린초2 들으면서 베이직을 잘 다진 기회가 된 거 같아요. 스윙아웃 후 따단따단하는 스텝도 잘 배워서 여기저기 써먹구 있답니당! 컨디션 계속 안 좋으셨는데도 2학기 동안 스프에서 넘 고생 많으셨어요♥ 또 어디선가 뵙겠습니닷!,송히님 덕분에 서울에서 청주분들 많이 뵈어서 좋았습니다! 왔다갔다하시면서 넘 고생 많으셨고 짧게 짧게 뵈어도 챙겨주셔서 감사합니다~청주와 서울에서 또또 뵈어용~~!,그레이님~ 토욜 소셜 때 눈이 마주쳤다가 제가 티나게 피한 적이 있어요. 그 때 일행이 바깥에서 뒤풀이 같이 가려고 한참 기다리는 상태라 애써 외면하고 급하게 나가느라 그랬습니다 ㅠ 매번 해명하고 싶었는데 갑자기 붙잡고 설명해드리기는 애매해서...! 오해 푸시고 담에 같이 소셜해용!! ,욕쟁이 할...아니 츤데레 서벅돔 고생 많으셨어요! 일 처리 시원시원하게 해주시고 협박도 해주신 덕에(?) 댄서분들이 많이 남아주셔서 린초2 분들과도 얘기 많이 했답니다ㅎㅎ 또 스프에서 뵈어유~~,정규 강습 도우미 하시느라 넘 고생 많으셨습니다 감사합니다~! ♡,말러 돔 토욜엔 계속 못 뵈었지만 가끔 일탐에서 보면 축하잼 등등 챙겨주셔서 감사했습니다! 이제 슬슬 대회에서도 뵈어요(?),이번에 대니돔 새로 알게 되어서 넘 좋았습니다! 같이 소소하게 소셜 전 샐러드 먹고 린초1 뒤풀이 놀러간 것도 좋은 추억으로 남을 거 같아요~기회 닿으면 또 뵈어용♥,이리쌤~이번 학기엔 동선이 안 겹쳐서 거의 못 뵌 거 같은데ㅠㅠ 항상 좋은 말이랑 격려해주셔서 넘 감사해요! 이리쌤을 목표로 열심히 수련해보고 있겠숩니다! ♥,정규 강습 도우미 하시느라 넘 고생 많으셨어요 감사합니다~! ♡,정규 강습 도우미 하시느라 넘 고생 많으셨습니다! 린디합은 물론 솔째할 때도 넘 멋있으세요~!! ♡
2026. 4. 14 오후 7:36:36,,에어,"이번학기는 제리쎔과 같이 수업을 못 가서 고개를 못들고 있어요. 일탐, 수탐에서 볼때마다. 반갑게 인사 해주셔서 감사했습니다. 항상 좋은 모습으로 간직하고 있을게요. 사랑합니다.?",이번학기는 제리쎔과 같이 수업을 못 가서 고개를 못들고 있어요. 기수방에서 응원 너무 감사했습니다. 저번 수탐에서 반겨줘서 감동적이었어요. 좋은 모습으로 간직하고 있을게요. 사랑합니다.,송히언니?! 언니 카리스마에 열심히 한것 같아요. 린초1에는 얼굴만? 아는 사이였는데 급 친해져서 너무 좋았습니다. 부족한 부분 고치려 찾아 갈게요. 고쳐주세요. 사랑합니다.,강습생들에게 다정하신 멋진 그레이쌤.. 우러러보고 있습니다. 건강이슈가 많이서 걱정입니다. 사랑합니다.?,든든한 서벅님. 든든하게 막강에도 오시고 서벅님 오실때마다 뒷풀이 인원이 많아서 다행입니다. 소셜에서도 동작 하나하나 알려주셔서 감사합니다.,효님 최고! 반장 하는동안 너무 도와주셔서 감사합니다. 많이 도움이 된것 같고 덕분에 무사히?? 수업이 끝나서 좋았습니다.,항상 웃어주시는 스말러님 최고예요. 린초2 반장 하는 동안 옆에 도와주셔서 감사합니다.,수업을 못들어 인사는 못했지만 소셜에서 먼저다가가 인사 드릴게요.,린초1 이후 소셜에서 홀딩해주셔서 감사합니다. 자라나는 꿈나무가 될게요.,수업후 소셜때 먼저 다가와 홀딩해주셔서 감사합니다. 닉네임만큼 다정하세요. 칩스님과 다르게..? 따듯한 백의천사 이십니다.,"디제잉 데뷔 축하 드려요. 토요반돔이라 수업때 못봤지만 소셜, 디제잉으로 볼수 있어 좋았습니다. "
